No.,측정일시,URL,사이트명,페이지상세,네트워크,Performance Score,상태,FCP (초),LCP (초),TBT (ms),Speed Index,측정시간,주요 문제점,개선 제안
1,2025. 12. 15 오후 10:34:11,https://www.google.com,Google,홈,Mobile 4G,93,우수,1.98,2.57,163,2.72,10초,"사용하지 않는 자바스크립트 줄이기, 렌더링 차단 요청, First Contentful Paint, Largest Contentful Paint, 네트워크 종속 항목 트리",사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 317KiB | First Contentful Paint: 2.0 초 | Largest Contentful Paint: 2.6 초
2,2025. 12. 15 오후 10:34:11,https://www.naver.com,Naver,홈,Mobile 4G,48,개선 필요,4.26,19.18,406,8.89,36초,"First Contentful Paint, 강제 실행된 리플로우, Largest Contentful Paint, Total Blocking Time, 사용하지 않는 자바스크립트 줄이기",First Contentful Paint: 4.3 초 | Largest Contentful Paint: 19.2 초 | Total Blocking Time: 410 밀리초
3,2025. 12. 15 오후 10:34:11,https://dr-piel.com/,닥터피엘,홈,Mobile 4G,2,개선 필요,17.85,34.88,2333,27.43,64초,"글꼴 표시, 자바스크립트 실행 시간 단축, 사용하지 않는 자바스크립트 줄이기, 효율적인 캐시 수명 사용, 네트워크 종속 항목 트리","글꼴 표시: 예상 절감 시간: 90밀리초 | 자바스크립트 실행 시간 단축: 6.4 초 | 사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 2,087KiB"
4,2025. 12. 15 오후 10:34:11,https://dr-piel.com/233,닥터피엘,상품목록,Mobile 4G,3,개선 필요,17.4,43.58,1885,21.56,53초,"CSS 축소하기, 사용하지 않는 CSS 줄이기, 이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, 레거시 JavaScript, 사용하지 않는 자바스크립트 줄이기",CSS 축소하기: 예상 절감 용량: 95KiB | 사용하지 않는 CSS 줄이기: 예상 절감 용량: 926KiB | 레거시 JavaScript: 예상 절감 용량: 45KiB
5,2025. 12. 15 오후 10:34:11,https://dr-piel.com/drpiel_total/?idx=190,닥터피엘,상품상세,Mobile 4G,4,개선 필요,17.85,90.98,1680,30.45,55초,"Cumulative Layout Shift, 대규모 레이아웃 변경 피하기, 최대 첫 입력 지연 예상 시간, 사용하지 않는 CSS 줄이기, 자바스크립트 줄이기",Cumulative Layout Shift: 1 | 대규모 레이아웃 변경 피하기: 레이아웃 변경 15건 발견 | 최대 첫 입력 지연 예상 시간: 540 밀리초
6,2025. 12. 15 오후 10:34:11,https://ilenol.com/,아이레놀,홈,Mobile 4G,8,개선 필요,13.43,81.9,1029,26.96,46초,"Cumulative Layout Shift, First Contentful Paint, 네트워크 종속 항목 트리, 사용하지 않는 자바스크립트 줄이기, 효율적인 캐시 수명 사용","Cumulative Layout Shift: 1 | First Contentful Paint: 13.4 초 | 사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 1,443KiB"
7,2025. 12. 15 오후 10:34:11,https://ilenol.com/allproduct,아이레놀,상품목록,Mobile 4G,24,개선 필요,13.95,37.28,309,15.06,30초,"자바스크립트 줄이기, 레이아웃 변경 원인, Cumulative Layout Shift, 이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, 대규모 레이아웃 변경 피하기",자바스크립트 줄이기: 예상 절감 용량: 232KiB | Cumulative Layout Shift: 1 | 대규모 레이아웃 변경 피하기: 레이아웃 변경 3건 발견
8,2025. 12. 15 오후 10:34:11,https://ilenol.com/137/?idx=1429,아이레놀,상품상세,Mobile 4G,4,개선 필요,14.93,75.9,1520,42.86,46초,"대규모 레이아웃 변경 피하기, LCP 분석, 자바스크립트 실행 시간 단축, 효율적인 캐시 수명 사용, 자바스크립트 줄이기","대규모 레이아웃 변경 피하기: 레이아웃 변경 11건 발견 | 자바스크립트 실행 시간 단축: 6.7 초 | 효율적인 캐시 수명 사용: 예상 절감 용량: 10,814KiB"
9,2025. 12. 15 오후 10:34:11,https://nelna.shop,낼라삽,홈,Mobile 4G,30,개선 필요,8.74,54.41,1182,18.38,46초,"이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, Speed Index, 자바스크립트 줄이기, 사용하지 않는 CSS 줄이기, LCP 요청 탐색",Speed Index: 18.4 초 | 자바스크립트 줄이기: 예상 절감 용량: 271KiB | 사용하지 않는 CSS 줄이기: 예상 절감 용량: 549KiB
10,2025. 12. 15 오후 10:34:11,https://nelna.shop/shop-all,낼라삽,상품목록,Mobile 4G,29,개선 필요,7.61,34.3,1418,14.56,58초,"강제 실행된 리플로우, 레거시 JavaScript, 자바스크립트 줄이기, LCP 요청 탐색, CSS 축소하기",레거시 JavaScript: 예상 절감 용량: 34KiB | 자바스크립트 줄이기: 예상 절감 용량: 248KiB | CSS 축소하기: 예상 절감 용량: 47KiB
